precio,precio_viejo,modelo,marca,precio_nuevo
,10999,Laptop HP 240 G4:,Hewlett Packard,8699
,15999,Laptop DELL Inspiron 15_5558:,DELL,13999
,6999,Laptop HP Pavilion 14-ac146la:,Hewlett Packard,5999
,18999,Laptop Lenovo Ideapad 300-14ISK:,Lenovo,15699
,12999,Laptop HP 14-ac112la:,Hewlett Packard,8699
,13999,Laptop Lenovo Ideapad 300:,Lenovo,13299
,5999,Laptop HP 240  G4:,Hewlett Packard,4999
,18999,Laptop DELL Inspiron 14-5458:,DELL,15999
,12999,Laptop Acer Aspire E5-573-50CJ:,Acer,10699
,8699,Laptop Acer Aspire V3-574-304U:,Acer,7999
,19999,Laptop DELL Inspiron 15-5559:,DELL,16999
,18999,Laptop DELL Inspiron 15_5558:,DELL,16699
,9999,Laptop Lenovo Ideapad G40-80:,Lenovo,8499
,5499,Laptop Lenovo IdeaPad 100-14IBY:,Lenovo,4499
,8299,Laptop HP Pavilion 14-AC147LA:,Hewlett Packard,6499
,12999,Laptop HP HP 250 G4:,Hewlett Packard,9999
,16999,Laptop HP 15 Star Wars Special Edition:,Hewlett Packard,12999
,4999,Laptop HP 14-ac101la:,Hewlett Packard,4399
,13999,Laptop Acer Aspire V3-574-58UX:,Acer,10799
,6999,Laptop HP 240 G4:,Hewlett Packard,5499
,4999,Laptop 2 en 1  HP X2 210 G1:,Hewlett Packard,4299
,14999,Laptop Lenovo Ideapad G40-80:,Lenovo,10299
,4699,Laptop Lenovo B41-30:,Lenovo,4399
,4999,Laptop ASUS E402SA:,ASUS,4399
,18999,Laptop HP ProBook 440:,Hewlett Packard,14999
,9499,Laptop DELL Inspiron 14_3442:,DELL,7999
,9999,Laptop Acer Aspire E5-573-38KS:,Acer,8299
,14699,Laptop Acer Aspire VN7-572-52S3:,Acer,12999
,14999,Laptop DELL Inspiron 14-5459:,DELL,12999
,9999,Laptop DELL Inspiron 15-5558:,DELL,9299
,9299,Laptop Acer Aspire E5-522-88VW:,Acer,8199
,5999,Laptop Acer Aspire ES1-431-C69G:,Acer,5199
,10499,Laptop HP 15-af113la:,Hewlett Packard,9499
,8999,Laptop Acer Aspire E5-522-83HB:,Acer,7999
,16999,Laptop Lenovo ThinkPad T450:,Lenovo,15999
,3999,Laptop Lanix Neuron PAD:,LANIX,3199
,9999,Laptop Acer Aspire E5-522-8425:,Acer,7999
,9999,Laptop Lenovo IDEAPAD Z40-70:,Lenovo,8699
,12999,Laptop DELL Vostro 14-3458:,DELL,9999
,7699,Laptop DELL Inspiron 14-3452:,DELL,6799
,16999,Laptop DELL Inspiron 15-5558:,DELL,14999
,13999,Laptop Lenovo Ideapad 500-15ISK:,Lenovo,13299
,12999,Laptop Lenovo Ideapad 500-14ISK:,Lenovo,11499
,9999,Laptop ASUS VivoBook X540LA:,ASUS,8999
